scorer,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000
bodyparts,nose,nose,nose,head,head,head,soine1,soine1,soine1,spine2,spine2,spine2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
59,385.2710266113281,355.5342712402344,0.9992024302482605,379.6955871582031,326.5416564941406,0.9999978542327881,370.62530517578125,296.5086364746094,0.9999990463256836,348.7015380859375,261.7388000488281,1.0
60,384.49664306640625,358.7254333496094,0.4586436152458191,379.4299011230469,329.2492980957031,0.9999593496322632,372.2092590332031,300.1676940917969,0.9999970197677612,354.4300842285156,264.1307678222656,0.9999992847442627
61,384.0975646972656,361.744140625,0.10680865496397018,379.7594299316406,331.6717834472656,0.9998801946640015,373.27935791015625,302.56329345703125,0.9999982118606567,358.4006042480469,265.46063232421875,0.9999996423721313
62,383.4715576171875,363.6782531738281,0.031240317970514297,379.9836730957031,333.6846008300781,0.9997465014457703,374.7846374511719,304.365478515625,0.9999994039535522,361.90850830078125,268.9747009277344,0.9999996423721313
63,382.9143981933594,365.6081848144531,0.008867691271007061,380.35797119140625,336.0992736816406,0.9994213581085205,375.67962646484375,305.9765319824219,0.9999991655349731,363.2391357421875,270.563232421875,0.9999997615814209
64,383.1555480957031,364.14508056640625,0.003644139040261507,380.906494140625,338.0792236328125,0.9988406300544739,375.9165344238281,307.8669738769531,0.9999992847442627,363.9732971191406,272.8426818847656,0.9999997615814209
65,383.5833740234375,364.24609375,0.0021675298921763897,380.9910888671875,339.14483642578125,0.9987264275550842,376.4228515625,310.1153869628906,0.9999995231628418,364.58477783203125,274.94610595703125,1.0
66,383.9122619628906,364.19586181640625,0.0026528805028647184,381.58026123046875,339.2909240722656,0.9995864033699036,377.24090576171875,311.9801940917969,0.9999994039535522,364.15924072265625,277.38226318359375,1.0
67,384.03814697265625,364.2388916015625,0.0014602579176425934,381.2481384277344,340.2440490722656,0.9994020462036133,376.8038635253906,313.69921875,0.9999990463256836,363.3581848144531,280.04376220703125,1.0
68,363.6990966796875,279.7975158691406,0.0013061981881037354,380.7328796386719,340.947509765625,0.99949049949646,376.594482421875,315.3327331542969,0.9999992847442627,363.09454345703125,283.3318176269531,1.0
69,384.6857604980469,364.5373229980469,0.0008567088516429067,379.7945251464844,341.4715576171875,0.9994938373565674,375.3888854980469,316.0677185058594,0.9999990463256836,361.56134033203125,283.9507751464844,0.9999998807907104
70,356.8992614746094,288.4671630859375,0.0005937854293733835,378.63092041015625,342.156494140625,0.9980992674827576,374.5797119140625,317.3431091308594,0.9999995231628418,361.34808349609375,285.76171875,0.9999997615814209
71,374.0423278808594,360.4981689453125,0.0005628534127026796,378.2484436035156,342.1821594238281,0.998268723487854,374.48699951171875,317.8104553222656,0.9999996423721313,361.9488830566406,286.8355712890625,0.9999997615814209
72,360.9210510253906,288.4293518066406,0.0008061793050728738,376.3946533203125,342.01416015625,0.9560322165489197,374.2923583984375,318.9007263183594,0.9999991655349731,362.081787109375,287.8435363769531,0.9999997615814209
73,376.91619873046875,370.57244873046875,0.0007701184949837625,376.52056884765625,342.7376403808594,0.8898877501487732,374.5598449707031,320.6671142578125,0.9999996423721313,363.32159423828125,289.1714172363281,0.9999998807907104
74,376.64166259765625,371.1899719238281,0.0008851223392412066,376.74365234375,343.8404235839844,0.8172093033790588,376.0133056640625,322.17706298828125,0.9999996423721313,365.1910705566406,289.9854736328125,1.0
75,376.1844482421875,371.5046081542969,0.0010064177913591266,376.8986511230469,344.7554016113281,0.6560724377632141,377.3463439941406,323.4164733886719,0.9999997615814209,367.16107177734375,291.71075439453125,1.0
76,375.50384521484375,371.21185302734375,0.0008679619058966637,376.15399169921875,349.79510498046875,0.1938011199235916,378.22833251953125,325.5208740234375,0.9999995231628418,370.189208984375,292.3133850097656,1.0
77,374.5165710449219,371.1210021972656,0.0010672910138964653,377.0794372558594,350.8441467285156,0.26685598492622375,379.5786437988281,327.1394348144531,0.9999994039535522,372.2608947753906,293.6776123046875,1.0
78,372.7513427734375,293.3875427246094,0.0009546584915369749,376.5788269042969,351.01409912109375,0.09350080788135529,380.172119140625,329.46856689453125,0.9999984502792358,373.0827331542969,294.9623107910156,1.0
79,372.8032531738281,294.3839111328125,0.001030645566061139,381.30950927734375,350.91839599609375,0.13159126043319702,381.2692565917969,330.31329345703125,0.9999986886978149,373.42816162109375,296.429931640625,1.0
80,372.773193359375,371.4985656738281,0.0009915351402014494,382.92242431640625,352.30059814453125,0.23238465189933777,382.7742004394531,332.62042236328125,0.9999978542327881,373.1723937988281,298.038818359375,1.0
81,371.96868896484375,371.7328186035156,0.0010953706223517656,383.9052734375,353.30303955078125,0.26361051201820374,383.7134704589844,334.3858947753906,0.9999971389770508,373.7856750488281,300.2694396972656,1.0
82,371.5639343261719,371.9027404785156,0.0010123333195224404,384.74359130859375,353.13336181640625,0.10327611118555069,383.90887451171875,335.37164306640625,0.9999967813491821,374.7734680175781,302.1143798828125,1.0
83,371.369384765625,304.1102600097656,0.0010370376985520124,385.24615478515625,353.8353271484375,0.05099647864699364,382.7904968261719,336.4098205566406,0.999996542930603,375.63262939453125,303.539794921875,0.9999998807907104
84,372.02008056640625,304.54400634765625,0.0006723519181832671,386.10321044921875,353.1753845214844,0.06210166960954666,384.36029052734375,335.7921447753906,0.9999948740005493,376.29815673828125,304.20672607421875,0.9999996423721313
85,373.2207946777344,305.5173645019531,0.0005315339658409357,386.2166748046875,353.5369567871094,0.04097592458128929,383.7969665527344,337.8973083496094,0.9999954700469971,376.8186340332031,305.2311096191406,0.9999997615814209
86,376.9452209472656,308.1828918457031,0.00044951229938305914,386.09844970703125,353.5525207519531,0.01667499728500843,384.00311279296875,339.1662902832031,0.9999961853027344,378.0647888183594,306.2430725097656,1.0
87,377.2507629394531,308.9372253417969,0.00042057500104419887,377.4508056640625,365.9111328125,0.017429782077670097,383.75103759765625,340.5823059082031,0.9999970197677612,378.7444763183594,306.9911804199219,1.0
88,367.5400390625,370.1093444824219,0.00025422353064641356,374.49383544921875,363.0180358886719,0.01906520128250122,383.69097900390625,341.1283874511719,0.9999977350234985,379.6309814453125,308.6708679199219,1.0
89,380.5129089355469,308.5211486816406,0.00047276020632125437,376.6927795410156,366.3098449707031,0.021184613928198814,383.6152038574219,342.2461853027344,0.9999972581863403,380.0111999511719,310.5871276855469,1.0
90,380.25048828125,310.4932556152344,0.0007897331379354,375.95068359375,366.4438781738281,0.027453260496258736,383.01959228515625,343.1231689453125,0.9999971389770508,380.0884704589844,312.3690185546875,1.0
91,380.0489501953125,312.0374450683594,0.0006318971863947809,374.8708801269531,367.3183898925781,0.03345280513167381,382.30224609375,344.6748352050781,0.9999939203262329,379.9634704589844,313.4742126464844,1.0
92,372.3765869140625,381.7937316894531,0.000416449795011431,374.237060546875,367.75494384765625,0.05398646742105484,381.4223937988281,346.37969970703125,0.9999879598617554,379.21697998046875,315.4809875488281,1.0
93,372.1124572753906,381.8651428222656,0.0004703249142039567,373.9183654785156,367.55206298828125,0.017805982381105423,381.7200622558594,349.10882568359375,0.9999871253967285,378.2255859375,316.2073669433594,1.0
94,372.32452392578125,382.0030822753906,0.0005084954318590462,374.11004638671875,367.05975341796875,0.016439855098724365,381.7486267089844,349.7251281738281,0.9999924898147583,376.1759338378906,316.81475830078125,1.0
95,372.2017517089844,382.03070068359375,0.0004283384478185326,374.70147705078125,367.2818298339844,0.013774043880403042,382.04193115234375,350.0361022949219,0.9999926090240479,375.7161865234375,317.68927001953125,1.0
96,370.2975158691406,320.6910400390625,0.0004262557777110487,375.7865905761719,367.5715637207031,0.048482298851013184,382.0261535644531,350.2209167480469,0.9999963045120239,375.0712890625,319.4615173339844,1.0
97,370.6412658691406,320.8393859863281,0.00046507318620570004,375.78265380859375,368.2087097167969,0.038938965648412704,382.3664245605469,351.21221923828125,0.9999940395355225,375.1946105957031,319.687255859375,0.9999998807907104
98,370.7592468261719,320.97833251953125,0.0004345000197645277,375.9510498046875,368.5696716308594,0.04650711268186569,382.5588684082031,351.308837890625,0.9999946355819702,375.4359436035156,319.7510070800781,0.9999998807907104
99,370.7315979003906,320.9820556640625,0.00043731523328460753,376.61968994140625,368.4569091796875,0.06367515027523041,382.8730163574219,350.59161376953125,0.9999964237213135,375.9705505371094,319.6184997558594,0.9999998807907104
100,370.79168701171875,320.8829650878906,0.0004941475344821811,375.9139099121094,367.66217041015625,0.038476694375276566,382.6567077636719,350.7176818847656,0.9999967813491821,375.9801330566406,319.7027587890625,0.9999998807907104
101,371.0549621582031,321.0570373535156,0.0004784960765391588,375.82476806640625,367.6368713378906,0.029664378613233566,382.5084228515625,350.75860595703125,0.9999973773956299,376.5099182128906,319.91387939453125,0.9999998807907104
102,371.62872314453125,321.4371032714844,0.0004083933890797198,375.44061279296875,367.32843017578125,0.039983004331588745,382.4665222167969,351.0462341308594,0.9999972581863403,376.4979553222656,320.3413391113281,0.9999998807907104
103,372.0641784667969,321.2834167480469,0.0004220668924972415,375.21490478515625,367.430908203125,0.03602730482816696,382.16546630859375,351.3175048828125,0.9999964237213135,377.7536926269531,320.4090270996094,0.9999998807907104
104,372.599609375,321.5672607421875,0.0004988432046957314,374.6118469238281,367.2942810058594,0.039399825036525726,381.8153381347656,351.95794677734375,0.9999938011169434,378.10894775390625,320.5404968261719,0.9999998807907104
105,373.36041259765625,322.3365478515625,0.00040567899122834206,374.5689697265625,367.67041015625,0.04708816856145859,381.82818603515625,351.6097412109375,0.9999939203262329,379.07891845703125,320.516845703125,1.0
106,371.92376708984375,381.6026916503906,0.0004596654907800257,373.9920959472656,367.91851806640625,0.039762549102306366,381.64178466796875,351.7479248046875,0.9999945163726807,379.31787109375,321.018310546875,1.0
107,372.33837890625,381.6202392578125,0.00040063096093945205,374.2273864746094,368.37347412109375,0.05111921206116676,381.74237060546875,351.92706298828125,0.9999935626983643,380.393310546875,320.6298522949219,1.0
108,384.7041931152344,320.1607360839844,0.0004282660083845258,373.281982421875,367.88861083984375,0.009204684756696224,381.7709045410156,352.42852783203125,0.9999969005584717,381.4869079589844,321.5906982421875,1.0
109,377.2777099609375,325.4404602050781,0.00038320390740409493,372.2654724121094,364.7406005859375,0.007162751164287329,381.8287658691406,352.7411804199219,0.9999978542327881,382.8542785644531,322.0354919433594,1.0
110,377.0246276855469,325.5246276855469,0.00035229651257395744,371.8608093261719,364.74945068359375,0.005898694507777691,381.7783203125,353.22265625,0.9999978542327881,384.1702575683594,322.2522888183594,1.0
111,376.92926025390625,325.3017272949219,0.00027852682978846133,371.5718688964844,364.9490966796875,0.00606240751221776,381.9793395996094,353.3770751953125,0.9999979734420776,384.4500427246094,322.48126220703125,1.0
